latitude,longitude,event_date,OrgName,Location (State),Primary CI Sector targeted,Secondary CI Sector,Strain/Group,Ransom Amount,Local Currency,RansomScale,PaidStatus,,AmtPaid
27.2048,-98.1116,6/21/2022,Brooks County,TX,Government Facilities,,,,"$93,000",$100000 or less,Yes,,"$37,000"
41.9779,-91.6656,7/3/2022,Cedar Rapids Community School District,IA,Education Facilities,,Karakurt,,,,Yes,,
NA,NA,1/31/2023,ION Group,Global,Financial Services,,LockBit,,,,Yes,,
NA,NA,2/23/2023,Dish Network,USA,Communication,,Black Basta,,,,Yes,,
34.1083,-117.2898,4/7/2023,San Bernardino County Sheriff's Department,CA,Government Facilities,Emergency Services,,,$1.1 million,$1000000 or less,Yes,,"$511,852 "
NA,NA,6/1/2023,Coca-Cola FEMSA,Latin America,Food and Agriculture,,TheSnake,,$12 million,More than $5000000,Yes,,$1.5 million
19.707,-155.109,6/1/2023,Hawaii Community College,HI,Education Facilities,,,,,,Yes,,
NA,NA,6/13/2023,Hawai'i Community College,HI,Education Facilities,,NoEscape,,,,Yes,,
36.1147,-115.1728,7/26/2023,Alberta Dental Service Corporation,Canada,Healthcare and Public Health,,8base,,,,Yes,,
NA,NA,8/31/2023,Caesars Entertainment,NV,Commercial Facilities,,Scattered Spider,,$30 million,More than $5000000,Yes,,$15 million
NA,NA,11/8/2023,The Industrial and Commercial Bank of China (ICBC),China,Financial Services,,LockBit,,,,Yes,,
NA,NA,1/19/2024,"Washington County, PA",WA,Government Facilities,,,,"$346,687 ",$1000000 or less,Yes,,"$346,687 "
NA,NA,2/21/2024,Change Healthcare (UnitedHealth Group),USA,Healthcare and Public Health,Financial Services,BlackCat/ALPHV,350 bitcoin,$22 million,More than $5000000,Yes,Bitcoin,$22 million
NA,NA,3/22/2024,Panera Bread,USA,Food and Agriculture,Commercial Facilities,,,,,Yes,,
44.4849,-88.0586,5/1/2024,AT&T,USA,Communication,,ShinyHunters,,$1 million,$1000000 or less,Yes,Bitcoin,"$370,000 "
NA,NA,5/14/2024,American Radio Relay League (ARRL),USA,Communication,,,,,,Yes,,$1 million
41.4259,-83.6459,6/19/2024,CDK Global,USA and Canada,Information Technology,Transportation Systems,BlackSuit,387 Bitcoin,$25 million,More than $5000000,Yes,Bitcoin,$25 million
NA,NA,12/9/2024,Wood County,OH,Emergency Services,,,,$1.5 million,$5000000 or less,Yes,,$1.5 million
